Ratio Edge Cases
============================================================

BRITANNIA | Mar 2016 | ROCE Difference = 6.16 | Category: Version Difference
BRITANNIA | Mar 2016 | ROE Difference = 17.66 | Category: Formula Discrepancy
BRITANNIA | Mar 2017 | ROE Difference = 24.27 | Category: Formula Discrepancy
BRITANNIA | Mar 2018 | ROCE Difference = 7.29 | Category: Version Difference
BRITANNIA | Mar 2018 | ROE Difference = 27.62 | Category: Formula Discrepancy
BRITANNIA | Mar 2019 | ROCE Difference = 9.62 | Category: Version Difference
BRITANNIA | Mar 2019 | ROE Difference = 29.94 | Category: Formula Discrepancy
BRITANNIA | Mar 2020 | ROCE Difference = 17.88 | Category: Formula Discrepancy
BRITANNIA | Mar 2020 | ROE Difference = 25.44 | Category: Formula Discrepancy
BRITANNIA | Mar 2022 | ROCE Difference = 5.22 | Category: Version Difference
BRITANNIA | Mar 2023 | ROCE Difference = 5.55 | Category: Version Difference
BRITANNIA | Mar 2023 | ROE Difference = 8.43 | Category: Version Difference
CANBK | Mar 2013 | ROE Difference = 6.00 | Category: Version Difference
CANBK | Mar 2014 | ROE Difference = 9.05 | Category: Version Difference
CANBK | Mar 2015 | ROE Difference = 8.88 | Category: Version Difference
